epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,seconds
1,baseline,2.678988932600972,0.3455448618441478,2.168708615622613,0.4638447971781305,0.4170960412475169,0.001,45.270819664001465
2,baseline,1.8693256993280438,0.5125737348649487,1.8273387460902044,0.5097001763668431,0.47336748045823973,0.001,46.732640981674194
3,baseline,1.587573885140453,0.5600745110214219,1.6485740922956449,0.544973544973545,0.5176234695885342,0.001,43.64810299873352
4,baseline,1.4157983495078077,0.5929835454827693,1.558430272540508,0.544973544973545,0.5161300511252556,0.001,43.122748374938965
5,baseline,1.2972476488683062,0.6144054641415709,1.4907764363541174,0.5679012345679012,0.5459852710376895,0.001,44.15509819984436
6,baseline,1.2257841829556333,0.6283762806581807,1.4300908064716076,0.5661375661375662,0.5480516227486699,0.001,43.65992045402527
7,baseline,1.1371788200255841,0.6395529338714685,1.4108139352192954,0.5714285714285714,0.5477178232515574,0.001,44.76708245277405
8,baseline,1.1207261225593197,0.6488668115492083,1.3759785208857669,0.5731922398589065,0.5590241573362813,0.001,43.666646242141724
9,finetune,0.9483791071781643,0.6907792610990375,1.0867479235669713,0.6596119929453262,0.6512192796896328,0.0001,45.578537702560425
10,finetune,0.6925491562395946,0.7565973300217324,0.9624547020152763,0.6948853615520282,0.6912038875864814,0.0001,46.35061192512512
11,finetune,0.5209963565396803,0.8090655076063334,0.8828319701673283,0.7142857142857143,0.7074925376667787,0.0001,46.24309754371643
12,finetune,0.42269364233455164,0.8450791679602608,0.8680623444142165,0.7072310405643739,0.6989580634238471,0.0001,45.69169020652771
13,finetune,0.3290824653365086,0.8751940391182862,0.807160148544917,0.7336860670194003,0.7261884577771196,0.0001,46.09731340408325
14,finetune,0.27560713397757086,0.8966159577770879,0.832653280656384,0.7266313932980599,0.7285619832837495,0.0001,47.05630874633789
15,finetune,0.2257330136449394,0.9180378764358895,0.793891782194008,0.7548500881834215,0.7503488581386194,0.0001,46.07340717315674
16,finetune,0.19566236479391189,0.9211425023284694,0.7857827389156167,0.7724867724867724,0.7670212650570221,0.0001,46.34445762634277
17,finetune,0.1780640126495989,0.9323191555417573,0.822053629254538,0.7583774250440917,0.7502717464446705,0.0001,46.52748441696167
18,finetune,0.1489872884598625,0.948773672772431,0.7854602968540352,0.7619047619047619,0.7496272261967034,0.0001,46.76798343658447
19,finetune,0.13854025891851615,0.944737659112077,0.7965009290021984,0.7654320987654321,0.7564013998865756,0.0001,46.1983904838562
20,finetune,0.11232551124359798,0.9621235641105247,0.7603029446311729,0.7795414462081128,0.7639419381704495,0.0001,47.477954387664795
21,finetune,0.09022629388238805,0.9661595777708786,0.7471258166973763,0.7901234567901234,0.7768692489094038,0.0001,47.5968804359436
22,finetune,0.09126078478762986,0.9692642036634586,0.7505464053185529,0.7954144620811288,0.7870563101849366,0.0001,46.66955757141113
23,finetune,0.07658007556849554,0.9745420676808445,0.7662452308484066,0.7883597883597884,0.7806856871239637,0.0001,46.17887330055237
24,finetune,0.06691358032127746,0.9767153058056505,0.7419458299126259,0.7918871252204586,0.787266308703679,0.0001,46.566423177719116
25,finetune,0.06482583334804211,0.9770257683949084,0.7508194373109143,0.7883597883597884,0.7757466779538527,0.0001,46.4648072719574
26,finetune,0.063184092010411,0.9770257683949084,0.7626672276678435,0.7901234567901234,0.782097124937033,0.0001,46.78340744972229
27,finetune,0.05233146453398294,0.9813722446445203,0.7684734565529453,0.7901234567901234,0.776564049949865,0.0001,47.16464853286743
28,finetune,0.047179640335248,0.9841664079478423,0.7615076588036417,0.7971781305114638,0.7834838838356164,5e-05,47.26296424865723
