epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,seconds
1,baseline,2.9290199506286507,0.20614715926730828,2.3894125933790122,0.345679012345679,0.28027503789439695,0.001,45.370373487472534
2,baseline,2.1076452450069794,0.40732691710648866,1.9876837791378956,0.4620811287477954,0.38129927872594827,0.001,45.15403509140015
3,baseline,1.8230049351807966,0.4722135982614095,1.908810398671152,0.4409171075837742,0.38945381787923755,0.001,44.74870157241821
4,baseline,1.6268804633665515,0.5091586463831108,1.7279372611584067,0.48148148148148145,0.4525339394772343,0.001,44.7752742767334
5,baseline,1.505910455384857,0.5426886060229742,1.7027995473913835,0.5044091710758377,0.4519979482669773,0.001,44.11919355392456
6,baseline,1.4001164467798852,0.5638000620925179,1.6714969948591167,0.5185185185185185,0.4846674487268383,0.001,44.056313037872314
7,baseline,1.3515528669937618,0.5740453275380316,1.6178007007591308,0.5255731922398589,0.49494608534685686,0.001,45.349151849746704
8,baseline,1.3049375555301372,0.5855324433405774,1.6014763937845853,0.5149911816578483,0.4950830794486569,0.001,44.93715500831604
9,finetune,1.1186426655175115,0.6274448928904067,1.0961911234695865,0.6455026455026455,0.6344016518704981,0.0001,45.10192608833313
10,finetune,0.6319984690960206,0.7817447997516299,0.9340944019732652,0.7125220458553791,0.711130426951534,0.0001,45.381351470947266
11,finetune,0.41603767689582316,0.8457000931387768,0.9262270789981099,0.7354497354497355,0.7287793710024653,0.0001,45.69193124771118
12,finetune,0.3044588108197461,0.8857497671530581,0.9255955284444953,0.7266313932980599,0.7223542088275531,0.0001,45.376185178756714
13,finetune,0.216267704103201,0.9226948152747594,0.8962644520207478,0.7372134038800705,0.7360432369914601,0.0001,44.8364634513855
14,finetune,0.17423749150455609,0.9332505433095312,0.857762777379581,0.746031746031746,0.7432057671300444,0.0001,45.18409085273743
15,finetune,0.12148019501194011,0.9537410742005589,0.8437431042577014,0.7601410934744268,0.750406218672283,0.0001,45.67502808570862
16,finetune,0.10818973599994675,0.9624340266997827,0.9053147092093656,0.7425044091710759,0.7333206673154965,0.0001,45.53988432884216
17,finetune,0.0983110695697994,0.9624340266997827,0.8367876177900052,0.7689594356261023,0.7587127653772859,0.0001,45.97056484222412
18,finetune,0.07558770893209286,0.9751629928593605,0.901419237584559,0.7601410934744268,0.7468949374894579,0.0001,44.87650680541992
19,finetune,0.058078536675310176,0.9785780813411984,0.9235894862674111,0.7583774250440917,0.739343386742797,0.0001,44.78174924850464
20,finetune,0.05976129284557053,0.9816827072337784,0.877414020228428,0.7689594356261023,0.7622088268898575,0.0001,44.911683559417725
21,finetune,0.04819637140214619,0.9835454827693263,0.7843547349095975,0.7936507936507936,0.7745557699043302,5e-05,45.49327254295349
22,finetune,0.02656457072557018,0.9937907482148401,0.7927221493562273,0.7936507936507936,0.7820736194034891,5e-05,45.493401527404785
23,finetune,0.02656990809809071,0.9925488978578081,0.8723194473004215,0.7971781305114638,0.7874741595709074,5e-05,45.5742712020874
24,finetune,0.023342909089855455,0.9934802856255821,0.8235211826111904,0.8077601410934744,0.7962755623761814,5e-05,45.025370359420776
25,finetune,0.02085666318858625,0.9934802856255821,0.827326938207713,0.8059964726631393,0.7903602082698782,2.5e-05,45.17490792274475
26,finetune,0.015427795752017848,0.99844768705371,0.8588475365671321,0.7971781305114638,0.7831497854866085,2.5e-05,44.90361428260803
27,finetune,0.016320553163250977,0.997516299285936,0.8150242078635428,0.8024691358024691,0.7885264607099577,2.5e-05,46.04768204689026
28,finetune,0.015017286056374512,0.9972058366966781,0.8310683940453504,0.798941798941799,0.7878244101378147,1.25e-05,45.692912578582764
