epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,seconds
1,baseline,2.181501841922607,0.35268550139708166,1.6881593533083665,0.5361552028218695,0.4980500223756418,0.001,44.647868156433105
2,baseline,1.3859193773974323,0.5231294628997206,1.433067094186416,0.5396825396825397,0.5300681247286908,0.001,44.01348686218262
3,baseline,1.1008554723313861,0.6168891648556349,1.4603347806177862,0.54673721340388,0.5342861823633763,0.001,43.87968468666077
4,baseline,0.9577741291870133,0.666252716547656,1.5432138883983437,0.562610229276896,0.5354392743813342,0.001,43.277557611465454
5,baseline,0.7809759395087739,0.7137534927041291,1.6461738839982047,0.5749559082892416,0.5328209975209882,0.001,44.0425169467926
6,baseline,0.622446052649124,0.7705681465383422,1.323623461172484,0.6190476190476191,0.5876211599589677,0.0005,43.66564393043518
7,baseline,0.5311127905333424,0.7932319155541757,1.3494128143345867,0.6208112874779541,0.5968428959800367,0.0005,43.80181622505188
8,baseline,0.4784950540788201,0.8124805960881714,1.351786984495385,0.6155202821869489,0.5786403247206242,0.0005,45.342384815216064
9,finetune,0.39111565816332117,0.8450791679602608,1.2717774633377317,0.6754850088183422,0.6533827356542792,0.0001,44.495404958724976
10,finetune,0.25416617482687814,0.8997205836696678,1.172656361125344,0.6790123456790124,0.6547844750186558,0.0001,44.38795828819275
11,finetune,0.18487917231462342,0.9251785159888234,1.1645902732955506,0.7072310405643739,0.6783273992302074,0.0001,44.553996562957764
12,finetune,0.1604298113092655,0.9357342440235952,1.0990354273422265,0.7037037037037037,0.6885220786817005,0.0001,44.53583598136902
13,finetune,0.14017758559862378,0.9385284073269171,1.147336411544465,0.708994708994709,0.6882102610169776,0.0001,44.75539422035217
14,finetune,0.12004028863508633,0.9509469108972369,1.119526432935523,0.7142857142857143,0.6948160440643171,0.0001,44.46831154823303
15,finetune,0.08923012880305999,0.9664700403601366,1.0566560585557678,0.7195767195767195,0.704521336243933,0.0001,45.2381227016449
16,finetune,0.083860223508564,0.9642968022353307,1.0653285418343081,0.7407407407407407,0.7198997110106696,0.0001,44.32405972480774
17,finetune,0.06674574747639982,0.9751629928593605,1.0994790970122794,0.7248677248677249,0.7029806811660875,0.0001,46.28899002075195
18,finetune,0.06889390950292136,0.9748525302701024,1.003030346131619,0.7407407407407407,0.7155957780556632,0.0001,45.546149492263794
19,finetune,0.0646630282525652,0.9754734554486184,1.0194560679388636,0.746031746031746,0.7215320198127483,0.0001,45.456522703170776
20,finetune,0.05341053025919027,0.9764048432163924,1.0282850563788961,0.7495590828924162,0.7249345223867111,0.0001,45.14482378959656
21,finetune,0.047287093288097756,0.9841664079478423,1.1057549583112962,0.7336860670194003,0.707108464425522,0.0001,44.501293420791626
22,finetune,0.0413780569803526,0.9863396460726482,1.0384971562253946,0.7425044091710759,0.7218119213537947,5e-05,45.17955780029297
23,finetune,0.04223720669267582,0.9841664079478423,1.031206912806215,0.7495590828924162,0.7264865698584384,5e-05,44.47707772254944
24,finetune,0.03192376489272513,0.9894442719652282,1.0292018428839074,0.7495590828924162,0.7281967060250253,5e-05,43.85758304595947
25,finetune,0.02530963658171572,0.9925488978578081,1.0242717932298702,0.7530864197530864,0.7304559562487589,2.5e-05,44.55082678794861
26,finetune,0.021619626684637683,0.9934802856255821,1.0360949326444555,0.7583774250440917,0.7340120459563834,2.5e-05,43.79285526275635
27,finetune,0.02311085589352656,0.9928593604470661,1.0372021143608834,0.7619047619047619,0.7375607945256373,2.5e-05,45.78450274467468
28,finetune,0.024217373108880485,0.9931698230363242,1.0317462119791243,0.7548500881834215,0.7340386627993043,1.25e-05,44.59920287132263
